1,,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,You must provide a username,,,,,,
2,seven77,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Your username should be 8 characters minumimum and 16 characters maximum,,,,,,
3,seventeenCharacte,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Your username should be 8 characters minumimum and 16 characters maximum,,,,,,
4,h,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Your username should be 8 characters minumimum and 16 characters maximum,,,,,,
5,bladyughfoulmoecklenburgwhurawhorascortastrumpapornanennykocksapastippatappatupperstrippuckputtanach,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Your username should be 8 characters minumimum and 16 characters maximum,,,,,,
6,Eight888,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Only lowercase letters numbers and _ are allowed. First character must start with a letter.,,,,,,
7,8eight88,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Only lowercase letters numbers and _ are allowed. First character must start with a letter.,,,,,,
8,eight///,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Only lowercase letters numbers and _ are allowed. First character must start with a letter.,,,,,,
9,eight888,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,,,,,,,,
10,sixteencharacter,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,,,,,,,,
11,premium_account,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,Username already in database,,,,,,
12,eight888,,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,You must provide a UTA ID.,,,,,
13,eight888,notANumber,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,UTA ID should be a number.,,,,,
14,eight888,123456789,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,UTA ID should be 10 digits exactly.,,,,,
15,eight888,12345678910,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,UTA ID should be 10 digits exactly.,,,,,
16,eight888,1,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,UTA ID should be 10 digits exactly.,,,,,
17,eight888,2147483647,user,testpassword,9987654321,email@uta.edu,AAA7676,,,,,,,,
18,eight888,5555555555,user,testpassword,9987654321,email@uta.edu,AAA7676,,,,,,,,
19,eight888,1001111111,user,testpassword,9987654321,email@uta.edu,AAA7676,Please correct the following errors,,,You have reached the maximum number of accounts you can create with your UTA ID.,,,,
20,eight888,1002222222,user,testpassword,9987654322,email@uta.edu,AAA7676,Please correct the following errors,,,You already have an account with this role.,,,,
21,eight888,1005555555,user,testpassword,9987654323,email@uta.edu,AAA7676,,,,,,,,
22,eight888,1005555555,user,,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,You must provide a password.,,,
23,eight888,1005555555,user,seven77,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Your password should be 8 characters minumimum and 16 characters maximum,,,
24,eight888,1005555555,user,seventeencharacte,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Your password should be 8 characters minumimum and 16 characters maximum,,,
25,eight888,1005555555,user,h,9987654323,email@uta.edu,AAA7676,Please correct the following errors,,,,Your password should be 8 characters minumimum and 16 characters maximum,,,
